181,female,1.000000,Amy-Jane
182,male,0.810000,Charlie
2955,male,0.990000,Paul
183,female,0.980000,Sara
184,male,0.990000,Derek
185,male,0.990000,Matt
186,male,0.990000,Jeremy
187,female,0.970000,Susie
188,male,0.950000,Ed
189,male,0.990000,John
190,male,0.990000,Paul
191,male,0.980000,Phil
192,male,0.990000,Mark
3826,male,0.990000,Mark
193,female,0.980000,Ella
194,male,0.980000,Simon
195,female,0.990000,Virginia
196,male,0.990000,Derek
197,male,0.980000,Rob
415,none,1.000000,Letters
198,none,1.000000,Letters
199,male,0.500000,Carey
200,male,0.980000,Jim
201,male,0.850000,Nicola
202,male,0.990000,Paul
3827,female,0.990000,Christine
203,male,0.980000,Phil
204,male,0.990000,Mark
205,male,0.990000,Richard
206,female,1.000000,Amy-Jane
207,female,0.970000,Claire
3828,female,0.990000,Veronica
208,female,0.980000,Kate
209,male,0.850000,Cal
210,male,0.990000,Mark
213,none,,corrections
211,none,1.000000,Letters
212,male,0.990000,Paul
3829,male,0.980000,Phil
214,female,0.970000,Susie
215,none,1.000000,Letters
216,male,0.950000,Ed
217,male,0.990000,Paul
3830,male,0.990000,Paul
218,male,0.990000,Derek
219,male,0.990000,Matt
220,male,0.990000,John
221,female,0.980000,Sara
222,male,0.980000,Simon
3831,male,0.980000,Roger
223,female,0.990000,Virginia
224,male,0.980000,Phil
225,male,0.990000,Mark
226,female,0.930000,Emma
227,male,0.980000,Jim
3832,male,0.980000,Tony
4825,male,0.990000,Paul
228,female,0.970000,Susie
229,male,0.990000,Paul
230,male,0.990000,Derek
231,male,0.980000,Rob
232,male,0.500000,Carey
3833,male,0.990000,Graham
233,female,0.990000,Mary
234,male,0.990000,Paul
235,female,0.970000,Claire
236,male,0.980000,Phil
237,male,0.990000,Mark
3834,male,0.980000,Colin
239,male,0.990000,Richard
240,male,0.980000,Jim
241,male,0.950000,Ed
242,male,0.990000,Paul
243,male,0.990000,Derek
3835,male,0.940000,Ray
6125,male,0.910000,JM
244,male,0.990000,Matt
245,male,0.990000,John
246,female,1.000000,Amy-Jane
247,male,0.980000,Simon
248,female,0.990000,Virginia
3836,male,0.990000,Paul
249,male,0.980000,Phil
250,male,0.990000,Mark
251,male,0.990000,Tom
252,female,0.980000,Sara
253,female,0.970000,Susie
3837,male,0.990000,John
254,male,0.990000,Paul
255,male,0.990000,Derek
256,male,0.980000,Rob
257,male,0.500000,Carey
258,male,0.980000,Jim
3838,male,0.990000,Mark
259,female,0.990000,Melissa
260,female,0.970000,Claire
261,male,0.990000,Paul
262,male,0.980000,Phil
263,male,0.990000,Mark
